Site ID,Site name,Sample date/time,E. coli value (orgs/100 mL),E. coli qualifier
4940,Kew,1/17/2018 10:50,370,=
291600,Launching Place,1/24/2018 8:00,250,=
290400,Healesville,1/24/2018 8:35,120,=
4991,Warrandyte,1/24/2018 9:23,41,=
4940,Kew,1/24/2018 10:25,110,=
291600,Launching Place,1/31/2018 7:55,690,=
290400,Healesville,1/31/2018 8:30,460,=
4991,Warrandyte,1/31/2018 9:30,120,=
4940,Kew,1/31/2018 10:35,640,=
291600,Launching Place,2/7/2018 7:50,1400,=
290400,Healesville,2/7/2018 8:25,500,=
4991,Warrandyte,2/7/2018 9:35,150,=
4940,Kew,2/7/2018 10:40,180,=
291600,Launching Place,2/14/2018 8:10,320,=
290400,Healesville,2/14/2018 8:45,63,=
4991,Warrandyte,2/14/2018 9:50,280,=
4940,Kew,2/14/2018 11:15,430,=
291600,Launching Place,2/21/2018 8:10,210,=
290400,Healesville,2/21/2018 8:50,150,=
4991,Warrandyte,2/21/2018 10:00,41,=
4940,Kew,2/21/2018 11:00,31,=
291600,Launching Place,2/28/2018 8:25,220,=
290400,Healesville,2/28/2018 9:10,390,=
4991,Warrandyte,2/28/2018 10:20,10,=
4940,Kew,2/28/2018 11:50,280,=
291600,Launching Place,3/7/2018 7:45,220,=
290400,Healesville,3/7/2018 8:20,86,=
4991,Warrandyte,3/7/2018 9:20,74,=
4940,Kew,3/7/2018 10:30,52,=
291600,Launching Place,12/5/2018 8:15,680,=
290400,Healesville,12/5/2018 8:45,98,=
4991,Warrandyte,12/5/2018 9:40,20,=
4940,Kew,12/5/2018 10:48,200,=
291600,Launching Place,12/12/2018 7:55,140,=
290400,Healesville,12/12/2018 8:33,210,=
4991,Warrandyte,12/12/2018 9:42,74,=
4940,Kew,12/12/2018 10:37,130,=
291600,Launching Place,12/19/2018 8:10,290,=
290400,Healesville,12/19/2018 8:50,350,=
4991,Warrandyte,12/19/2018 10:00,95,=
4940,Kew,12/19/2018 10:50,400,=
291600,Launching Place,12/28/2018 8:00,270,=
290400,Healesville,12/28/2018 8:47,120,=
4991,Warrandyte,12/28/2018 9:40,310,=
4940,Kew,12/28/2018 10:35,430,=
291600,Launching Place,1/3/2019 7:20,310,=
290400,Healesville,1/3/2019 8:04,74,=
4991,Warrandyte,1/3/2019 8:52,41,=
4940,Kew,1/3/2019 9:38,63,=
291600,Launching Place,1/9/2019 7:45,190,=
290400,Healesville,1/9/2019 8:20,270,=
4991,Warrandyte,1/9/2019 9:45,120,=
4940,Kew,1/9/2019 10:40,86,=
291600,Launching Place,1/16/2019 8:25,330,=
290400,Healesville,1/16/2019 9:00,110,=
4991,Warrandyte,1/16/2019 9:50,120,=
4940,Kew,1/16/2019 10:40,41,=
290400,Healesville,1/23/2019 8:25,85,=
4991,Warrandyte,1/23/2019 9:30,86,=
4940,Kew,1/23/2019 10:20,85,=
291600,Launching Place,1/30/2019 8:10,200,=
290400,Healesville,1/30/2019 8:45,97,=
4991,Warrandyte,1/30/2019 9:45,52,=
4940,Kew,1/30/2019 10:45,120,=
291600,Launching Place,2/6/2019 8:10,230,=
290400,Healesville,2/6/2019 8:50,840,=
4991,Warrandyte,2/6/2019 9:50,74,=
4940,Kew,2/6/2019 10:50,170,=
291600,Launching Place,2/13/2019 8:20,280,=
290400,Healesville,2/13/2019 9:00,410,=
4991,Warrandyte,2/13/2019 9:45,290,=
4940,Kew,2/13/2019 10:35,3900,=
4940,Kew,2/20/2019 11:40,74,=
4991,Warrandyte,2/20/2019 13:05,110,=
290400,Healesville,2/20/2019 14:00,550,=
291600,Launching Place,2/20/2019 14:35,310,=
291600,Launching Place,2/27/2019 8:05,300,=
290400,Healesville,2/27/2019 8:45,410,=
4991,Warrandyte,2/27/2019 9:35,52,=
4940,Kew,2/27/2019 10:35,340,=
291600,Launching Place,3/6/2019 7:45,470,=
290400,Healesville,3/6/2019 8:25,120,=
4991,Warrandyte,3/6/2019 9:30,74,=
4940,Kew,3/6/2019 10:20,250,=
291600,Launching Place,12/4/2019 8:20,210,=
290400,Healesville,12/4/2019 8:50,310,=
4991,Warrandyte,12/4/2019 9:30,86,=
4940,Kew,12/4/2019 10:40,52,=
291600,Launching Place,12/11/2019 8:05,340,=
290400,Healesville,12/11/2019 8:45,110,=
4991,Warrandyte,12/11/2019 9:35,10,<
4940,Kew,12/11/2019 10:55,130,=
291600,Launching Place,12/18/2019 8:20,270,=
290400,Healesville,12/18/2019 8:55,120,=
4991,Warrandyte,12/18/2019 9:48,10,=
4940,Kew,12/18/2019 10:37,84,=
291600,Launching Place,12/22/2019 7:10,240,=
290400,Healesville,12/22/2019 7:45,120,=
4991,Warrandyte,12/22/2019 8:25,85,=
4940,Kew,12/22/2019 9:25,85,=
4940,Kew,1/2/2020 8:20,310,=
4991,Warrandyte,1/2/2020 8:50,160,=
290400,Healesville,1/2/2020 9:45,85,=
